symbol,name,strategy,price,vol_ratio,status,reason
018880.KS,한온시스템,K-Weinstein,4570.0,5.872951555644095,Stage 2 유지,EMA120 위 + 거래량 증가
000120.KS,CJ대한통운,K-Weinstein,136700.0,5.077407461536671,Stage 2 유지,EMA120 위 + 거래량 증가
139480.KS,이마트,K-Weinstein,117600.0,4.0678918734233545,Stage 2 유지,EMA120 위 + 거래량 증가
023530.KS,롯데쇼핑,K-Weinstein,113500.0,4.028035732048239,Stage 2 유지,EMA120 위 + 거래량 증가
097950.KS,CJ제일제당,K-Weinstein,228500.0,2.3670682243437184,Stage 2 유지,EMA120 위 + 거래량 증가
011200.KS,HMM,K-Weinstein,21200.0,2.288403052943183,Stage 2 유지,EMA120 위 + 거래량 증가
088350.KS,한화생명,K-Weinstein,4070.0,2.1164430740292426,Stage 2 유지,EMA120 위 + 거래량 증가
003490.KS,대한항공,K-Weinstein,24950.0,2.108685857254086,Stage 2 유지,EMA120 위 + 거래량 증가
012450.KS,한화에어로스페이스,K-Weinstein,1146000.0,2.081488687628761,Stage 2 유지,EMA120 위 + 거래량 증가
323410.KS,카카오뱅크,K-Weinstein,27400.0,1.8951442292194054,Stage 2 유지,EMA120 위 + 거래량 증가
111770.KS,영원무역,K-Weinstein,97200.0,1.8944740489088092,Stage 2 유지,EMA120 위 + 거래량 증가
036460.KS,한국가스공사,K-Weinstein,42750.0,1.659928390281581,Stage 2 유지,EMA120 위 + 거래량 증가
329180.KS,HD현대중공업,K-Weinstein,534000.0,1.5835764536315284,Stage 2 유지,EMA120 위 + 거래량 증가
029780.KS,삼성카드,K-Weinstein,60600.0,1.5717577989210902,Stage 2 유지,EMA120 위 + 거래량 증가
011070.KS,LG이노텍,K-Weinstein,243500.0,1.5219451313449113,Stage 2 유지,EMA120 위 + 거래량 증가
017800.KS,현대엘리베이터,K-Weinstein,104100.0,1.4820156635304975,Stage 2 유지,EMA120 위 + 거래량 증가
105560.KS,KB금융,K-Weinstein,155500.0,1.473023530220324,Stage 2 유지,EMA120 위 + 거래량 증가
267270.KS,HD건설기계,K-Weinstein,130200.0,1.4705690289756788,Stage 2 유지,EMA120 위 + 거래량 증가
316140.KS,우리금융지주,K-Weinstein,35600.0,1.4392606761322517,Stage 2 유지,EMA120 위 + 거래량 증가
005940.KS,NH투자증권,K-Weinstein,28450.0,1.41855170180167,Stage 2 유지,EMA120 위 + 거래량 증가
180640.KS,한진칼,K-Weinstein,124600.0,1.4108326150395654,Stage 2 유지,EMA120 위 + 거래량 증가
009830.KS,한화솔루션,K-Weinstein,46600.0,1.3899686061549712,Stage 2 유지,EMA120 위 + 거래량 증가
088980.KS,맥쿼리인프라,K-Weinstein,11330.0,1.3252225976725822,Stage 2 유지,EMA120 위 + 거래량 증가
031210.KS,서울보증보험,K-Weinstein,55200.0,1.320254960781753,Stage 2 유지,EMA120 위 + 거래량 증가
