symbol,name,strategy,stage,price,confidence,vol_ratio,reason,status
005930.KS,삼성전자,K-SEPA,Setup 대기,165800.0,0.3,0.7568406858898886,TT통과 | VCP/돌파 대기,
000660.KS,SK하이닉스,K-SEPA,Setup 대기,876000.0,0.3,0.85410397843071,TT통과 | VCP/돌파 대기,
005380.KS,현대차,K-SEPA,Setup 대기,480500.0,0.3,0.6972064426405276,TT통과 | VCP/돌파 대기,
005935.KS,삼성전자우,K-SEPA,Setup 대기,114300.0,0.3,0.6308108829862816,TT통과 | VCP/돌파 대기,
402340.KS,SK스퀘어,K-SEPA,Setup 대기,543000.0,0.3,1.0003291588463985,TT통과 | VCP/돌파 대기,
000270.KS,기아,K-SEPA,Setup 대기,154700.0,0.3,0.6545297095117368,TT통과 | VCP/돌파 대기,
105560.KS,KB금융,K-SEPA,Setup 대기,155500.0,0.3,1.9131070745202747,TT통과 | VCP/돌파 대기,
034020.KS,두산에너빌리티,K-SEPA,Setup 대기,94100.0,0.3,0.6372199852202446,TT통과 | VCP/돌파 대기,
012450.KS,한화에어로스페이스,K-SEPA,Setup 대기,1146000.0,0.3,2.134073618465971,TT통과 | VCP/돌파 대기,
068270.KS,셀트리온,K-SEPA,Setup 대기,227500.0,0.3,0.840837086303098,TT통과 | VCP/돌파 대기,
028260.KS,삼성물산,K-SEPA,Setup 대기,317000.0,0.3,0.8830884278466535,TT통과 | VCP/돌파 대기,
055550.KS,신한지주,K-SEPA,Setup 대기,97900.0,0.3,1.2393348244929991,TT통과 | VCP/돌파 대기,
012330.KS,현대모비스,K-SEPA,Setup 대기,437000.0,0.3,0.4694245647450302,TT통과 | VCP/돌파 대기,
035420.KS,NAVER,K-SEPA,Setup 대기,254000.0,0.3,1.021460362067608,TT통과 | VCP/돌파 대기,
032830.KS,삼성생명,K-SEPA,Setup 대기,197700.0,0.3,1.1661973413387083,TT통과 | VCP/돌파 대기,
042660.KS,한화오션,K-SEPA,Setup 대기,130900.0,0.3,0.4579803859029855,TT통과 | VCP/돌파 대기,
015760.KS,한국전력,K-SEPA,Setup 대기,60800.0,0.3,0.4939613268930201,TT통과 | VCP/돌파 대기,
267260.KS,HD현대일렉트릭,K-SEPA,Setup 대기,939000.0,0.3,1.3956749254621843,TT통과 | VCP/돌파 대기,
010130.KS,고려아연,K-SEPA,Setup 대기,1701000.0,0.3,0.33106685273457437,TT통과 | VCP/돌파 대기,
086790.KS,하나금융지주,K-SEPA,Setup 대기,122200.0,0.3,1.5203663346443455,TT통과 | VCP/돌파 대기,
006400.KS,삼성SDI,K-SEPA,Setup 대기,381000.0,0.3,0.5674796547048753,TT통과 | VCP/돌파 대기,
005490.KS,POSCO홀딩스,K-SEPA,Setup 대기,371000.0,0.3,1.0119139241295998,TT통과 | VCP/돌파 대기,
006800.KS,미래에셋증권,K-SEPA,Setup 대기,51900.0,0.3,0.7160040018919731,TT통과 | VCP/돌파 대기,
316140.KS,우리금융지주,K-SEPA,Setup 대기,35600.0,0.3,1.6706816141576566,TT통과 | VCP/돌파 대기,
000810.KS,삼성화재,K-SEPA,Setup 대기,534000.0,0.3,0.9764310895121538,TT통과 | VCP/돌파 대기,
010140.KS,삼성중공업,K-SEPA,Setup 대기,27850.0,0.3,0.5970488356838349,TT통과 | VCP/돌파 대기,
034730.KS,SK,K-SEPA,Setup 대기,330500.0,0.3,0.6385878260747148,TT통과 | VCP/돌파 대기,
009150.KS,삼성전기,K-SEPA,Setup 대기,313500.0,0.3,1.2061858381315267,TT통과 | VCP/돌파 대기,
298040.KS,효성중공업,K-SEPA,Setup 대기,2347000.0,0.3,0.8682569905784494,TT통과 | VCP/돌파 대기,
066570.KS,LG전자,K-SEPA,Setup 대기,104000.0,0.3,1.0029224786079372,TT통과 | VCP/돌파 대기,
033780.KS,KT&G,K-SEPA,Setup 대기,172000.0,0.3,1.109914816914726,TT통과 | VCP/돌파 대기,
010120.KS,LS ELECTRIC,K-SEPA,Setup 대기,637000.0,0.3,0.809471754556978,TT통과 | VCP/돌파 대기,
