symbol,name,price,ema120,vol_ratio,status
402340.KS,SK스퀘어,514000.0,322179.25140177016,1.767420567245597,Stage 2 유지
105560.KS,KB금융,149300.0,123767.19218119018,3.366161127455305,Stage 2 유지
028260.KS,삼성물산,289500.0,234641.74337360234,1.819831684946484,Stage 2 유지
055550.KS,신한지주,93600.0,75864.32102196463,1.7809678884455462,Stage 2 유지
086790.KS,하나금융지주,114600.0,92410.40322823176,1.5516986097365884,Stage 2 유지
352820.KS,하이브,355500.0,315952.51556912187,2.520373350974517,Stage 2 유지
009830.KS,한화솔루션,42000.0,29336.362076972397,7.162775339272928,Stage 2 유지
175330.KS,JB금융지주,28400.0,23886.278569819384,2.1283183841819264,Stage 2 유지
251270.KS,넷마블,54700.0,53594.667133148854,5.218183595400806,
017800.KS,현대엘리베이터,102200.0,85749.89452702974,2.292873382471424,Stage 2 유지
489790.KS,한화비전,66800.0,50789.302506207016,2.08962717536924,Stage 2 유지
